item,name,positionItem,position,start,end
Q112162958,Alejandro Evuna Owono Asangono,Q112162663,Minister at the presidency of the republic in charge of Missions,2008,
Q112162958,Alejandro Evuna Owono Asangono,Q112162663,Minister at the presidency of the republic in charge of Missions,2011,
Q112162958,Alejandro Evuna Owono Asangono,Q112162663,Minister at the presidency of the republic in charge of Missions,2012,
Q112162958,Alejandro Evuna Owono Asangono,Q112162663,Minister at the presidency of the republic in charge of Missions,2013,
Q112175153,Carmelo Modu Akuse Bindang,Q112162663,Minister at the presidency of the republic in charge of Political and A,2006,
Q112162967,Baltasar Engonga Edjo,Q112162663,Minister at the presidency of the government in charge of Regional Inte,2008,
Q112162967,Baltasar Engonga Edjo,Q112162663,In charge of Sub-Regional Integration,2006,
Q112162967,Baltasar Engonga Edjo,Q112162663,Minister at the presidency of the government in charge of Regional Inte,2012,
Q112162967,Baltasar Engonga Edjo,Q112162663,Minister at the presidency of the government in charge of Regional Inte,2013,
Q2201806,Vicente Ehate Tomi,Q112162663,Minister at the Presidency in charge of the Administrative Coordination,2008,
Q112162958,Alejandro Evuna Owono Asangono,Q112162663,Minister at the presidency of the republic in charge of Missions,2010,
Q112128527,Carlos Eyi Obama,Q112174437,"Agriculture, Livestock and Rural Development",2003,
Q112175164,Diosdado-Sergio Osa Mongono,Q112174437,Agriculture and Forests,2012,
Q112133448,Salomon Nfa Ndong,Q112174437,Agriculture and Forests,2013,
Q112133727,Miguel Mba Nsang Mikue,Q112174437,"Agriculture, Livestock, Forests and Environment",2018,
Q112133727,Miguel Mba Nsang Mikue,Q112174437,"Agriculture, Livestock, Forests and the Environment",2020,
Q5438322,Fausto Abeso Fuma,Q112174439,Civil Aviation,2012,
Q5438322,Fausto Abeso Fuma,Q112174439,Civil Aviation,2013,
Q112128545,Fortunato Ofa Mbo Nchama,Q112174440,Commerce and Business Promotion,2013,
Q112175131,Alberto Doria Lajay,Q112174440,Commerce and Promotion of Small and Medium-sized Businesses,2018,
Q5438667,Jose Eneme Oyono,Q112174441,Delegate of Communications and Transport,1998,
Q112128550,Francisco Mba Olo Bahamonde,Q112174441,Communications and Transport,2003,
Q112175183,Guillermina Mokuy Mba Obono,Q112174442,Culture and Tourism,2012,
Q112175183,Guillermina Mokuy Mba Obono,Q112174442,Culture and Tourism,2013,
Q1353126,Miguel Abia Biteo,Q112174443,Delegate of Economic Affairs and Finance,1998,
Q5057941,Celestino Bonifacio Bacale Obiang,Q112174443,Economy,2011,
Q112175196,José-Angel Borico Moises,Q112174443,"Economy, Commerce and Business Promotion",2012,
Q112133412,Hermes Ela Mifumu,Q112174443,"Economy, Planning and Public Investment",2013,2018
Q112133278,Teresa Avoro,Q112174444,"Delegate of Education, Science and Francophone Affairs",1998,
Q112175243,Santiago Ondo Esono Asangono,Q112174444,Education and Sciences,2012,
Q112133418,Jesus Engonga Ndong,Q112174444,Education and Sciences,2013,
Q112175210,Manuela Roca Botey,Q112174444,"Education, University Teaching and Sports",2020,
Q112175172,Fidel-Marcos Meñe Ncogo,Q112174445,Energy,2012,
Q112175172,Fidel-Marcos Meñe Ncogo,Q112174445,Energy,2013,
Q112133573,Martin-Crisantos Ebe Mba,Q112174446,Finance and the Budget,2010,
Q112133573,Martin-Crisantos Ebe Mba,Q112174446,Finance and the Budget,2011,
Q112175226,Montserrat Afang Ondo,Q112174446,"Finance, Taxes and Contributions",2012,
