transformed,raw
Minister at the Presidency,"Minister of the Presidency, in charge of Regional Integration"
Minister of Social Affairs,Minister of the Social Sector
Prime Minister,Prime Minister
Vice-Prime Minister,"Second Vice-Prime Minister, in charge of domestic affairs"
Secretary General of the Presidency,Secretary General of the Presidency of the Government
Secretary of State for Energy,Secretary of State for the Energy
Secretary of State for National Defence,Secretary of State for the National Defence
Secretary of State for the Treasury,Secretary of State for the Treasury and the Budget
Secretary of State of Defence,Secretary of State of Defence
Secretary of State of Energy,Secretary of State of Energy
Secretary of State of Finance and Budget,Secretary of State of Finance and Budget
Secretary of State of Foreign Affairs,Secretary of State of Foreign Affairs
Secretary of State of Housing and Urbanism,Secretary of State of Housing and Urbanism
Secretary of State of Information,Secretary of State of Information
Secretary of State of Mines and Hydrocarbons,Secretary of State of Mines and Hydrocarbons
Secretary of State of Planning,Secretary of State of Planning
Secretary of State of Public Service,Secretary of State of Public Function (?) Public Service
Secretary of State of Security,Secretary of State of Security
Secretary of State for the Treasury,Secretary of State of The Treasury
Secretary of State of Tourism,Secretary of State of Tourism
Secretary of State of Trade,Secretary of State of Trade
Secretary of State of Transport,Secretary of State of Transport and Communications
Secretary of State of Women,Secretary of State of Women's Promotion
Secretary of State of Women,Secretary of State of Women’s Affairs
Secretary of State of Youth and Sports,Secretary of State of Youth and Sports
Secretary-General at the Prime Minister's Office,Secretary-General at the prime minister’s office in charge of Administr
Secretary-General of the Government,Secretary-General of the Government in charge of Administrative Co-ordi
Vice-President,Vice President
Vice-Minister to the Presidency,Vice-Minister to the Presidency of the Republic
Vice-President,Vice-President in charge of Defence and State Security
"Vice-Prime Minister","Vice-Prime Minister Third, in charge of Social Sector and Human Rights"
Vice-Prime Minister,Vice-Prime Minister in charge of the Political Secor and Democr
